编号,开始答题时间,结束答题时间,答题时长,地理位置国家,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.读懂一个陌生老模块时，你第一步让大模型做什么？,1.读懂一个陌生老模块时，你第一步让大模型做什么？_[选项填空],2.大模型帮你理解老代码后，产出物最终沉淀在哪？,2.大模型帮你理解老代码后，产出物最终沉淀在哪？_[选项填空],3.一次喂给大模型多少代码量？,4.改动老代码前，你会怎么保护已有的特殊逻辑（客户定制、历史补丁）不被破坏？,5.遇到过大模型悄悄丢掉特殊逻辑的情况吗？,5.遇到过大模型悄悄丢掉特殊逻辑的情况吗？_[选项填空],6.在用大模型做重构或补全前，你会先建立回归测试或行为快照吗？,7.大模型生成或修改代码后，你怎么确认改动是安全的？,8.目前最大的障碍是什么？,8.目前最大的障碍是什么？_[选项填空],9.你最有效的一个Prompt技巧或工作流是什么？,"10.你在老仓库中用大模型，有没有一个让你觉得""这个方法真好使""的具体做法？请描述。"
1,2026-06-24 09:34:50,2026-06-24 09:39:17,267,中国,江苏省,无锡市,,223**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,5000-50000行,单元测试,没遇到,,会，这是前提,回归测试,上下文装不下,,代入背景，设定边界，做好plan和验证,红蓝测试
2,2026-06-24 09:34:48,2026-06-24 09:39:37,289,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,直接贴代码问“这段是干什么的”,,只看对话，不做沉淀,,500行,不怎么改老代码,遇到过，发现方式：____________,输出结果不符合预期,会，这是前提,查看输出结果验证,输出不稳定，不敢直接用,,给出文档，告知内容，需求，等输出结果,没在老仓库中用过大模型
3,2026-06-24 09:41:57,2026-06-24 09:45:34,217,中国,北京市,北京市,,103***********,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko)  Mobile/15E148 wxwork/5.0.8 MicroMessenger/7.0.1 Language/zh ColorScheme/Light wwmver/3.26.506.378",,直接贴代码问“这段是干什么的”,,写成独立文档，同步到团队Wiki,,500行,做回归测试,遇到过，发现方式：____________,回归测试发现,会，这是前提,逐行审查配合单元测试，黑盒测试，白盒测试，回归测试,其他：____________,TPS 慢,不要有太多多余的 prompt,无
4,2026-06-24 09:38:23,2026-06-24 09:46:08,465,中国,北京市,北京市,,240************************************,"Mozilla/5.0 (Linux; Android 16; 25098PN5AC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.180 Mobile Safari/537.36 XWEB/1380347 MMWEBSDK/20250202 MMWEBID/3737 wxwork/5.0.8 MicroMessenger/7.0.1 NetType/4G",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,500行,代码审查流程，测试用例，文档记录,没遇到,,有时候会,单元+功能+回归测试,输出不稳定，不敢直接用,,需求分析，代码编写，代码测试,梳理业务逻辑，排查快速定位问题。
5,2026-06-24 09:35:13,2026-06-24 09:46:11,658,中国,上海市,上海市,,58.********,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko)  Mobile/15E148 wxwork/5.0.8 MicroMessenger/7.0.1 Language/zh ColorScheme/Light wwmver/3.26.506.378",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,500-5000行,1、特殊逻辑必须有注释\n2、单元测试+集成测试覆盖,没遇到,,会，这是前提,1、针对改动预设的测试case测通\n2、既有的单测和集成测试跑通,没有测试，无法验证对错,,详细描述需求+让ai根据需求提问给我并回答+基于单测review改动,1、理清楚旧逻辑\n2、补全单测\n3、再根据需求改动并基于单测review
6,2026-06-24 09:33:33,2026-06-24 09:46:54,801,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,500-5000行,先对齐业务需求，之后手写一版方案，给ai，我们维护了docs，之前的一些业务逻辑在里面，让ai读取之前的md文档，生成一份实现方案，纠正好这版方案之后，再让ai去生成代码，我们进行检查\n尽量做增量修改,没遇到,,会，这是前提,1.针对增量代码，查看是否符合业务逻辑\n2.如果修改了之前代码逻辑，需要检查当前改动是否正确，我们可以生成针对这次代码改动的测试用例，覆盖当前所有改动代码进行测试\n3.提交代码后，通过审查流水线进行检查，对代码进行review\n\n,没有测试，无法验证对错,,1.先让ai整理当前相关业务代码逻辑\n2.手写一份当前要实现的功能，让ai只生成md文档\n3.人工检查文档\n4.让ai最小代价实现,1.当我们不熟悉这个老仓库时，让他生成 基础、入门、进阶、高阶的md文档\n2.出一份实现文档md，先不写代码\n3.人工检查，修正md\n4.最小代价实现
7,2026-06-24 09:37:59,2026-06-24 09:48:08,609,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,其他：____________,先补单元测试和接口测试,其他：____________,技能文件/测试报告/单元测试用例,&gt;50000行,"对照 需求文档,  先补文字的测试用例需求.",没遇到,,会，这是前提,有足够的测试覆盖度. 而且经过多Agent评审.,不知道怎么提问,,"参考 grill-me  (https://github.com/mattpocock/skills/tree/main/skills/productivity/grill-me) 要求输出参考方案前, 给出量化风险评估.","每次修改部署成功完成后,  同步更新两个 说明文档 (https://github.com/mattpocock/skills/tree/main/skills/productivity/writing-great-skills) 和交接说明 (https://github.com/mattpocock/skills/tree/main/skills/productivity/writing-great-skills)"
8,2026-06-24 09:48:43,2026-06-24 09:51:57,194,中国,浙江省,杭州市,,124**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它找入口函数，再逐层展开,,写成独立文档，同步到团队Wiki,,5000-50000行,告诉大模型这段代码是定制的代码，不要动,遇到过，发现方式：____________,评审代码,一般不会,代码审查,没有测试，无法验证对错,,我遇到一个xx问题，这是相关的日志，你帮我结合代码分析下这个问题,给出具体的问题和相关日志，让其进行分析具体的问题
9,2026-06-24 10:03:18,2026-06-24 10:08:57,339,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,整理成注释，提交进仓库,,500-5000行,对于特殊逻辑的函数入口处确保注释，测试用例覆盖。,遇到过，发现方式：____________,测试用例失败,会，这是前提,先让大模型生成测试用例，不足空函数。后续让大模型填写函数细节。,上下文装不下,,在 prompt 中写好函数名称，确定调用流程。尽量让大模型只填写函数内容,提前写好 claude.md，排除不相关模块。
10,2026-06-24 09:44:38,2026-06-24 10:09:24,1486,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,整理成注释，提交进仓库,,500-5000行,先梳理特殊逻辑，人工确认涉及到的代码块、测试case等；改动时review有没有改到相关的逻辑并测试验证,没遇到,,有时候会,先根据改动位置大致确认影响范围及程度，测试时按照改动位置的单元测试、所在模块的系统测试、整个服务的稳定性测试的顺序来整体测一遍。另外需要针对改动点着重进行review以及case构造，核心模块改动会投入更多人力进行确认,输出不稳定，不敢直接用,,先根据prd把功能进行拆分，每个子功能单独与大模型交互，完成后进行下一个子功能，耦合性不高的子功能可以另开一个上下文。每个子功能的提示词要明确代码位置、实现效果（功能样例，前端最好有原型图）、复杂逻辑最好分步骤说明。,用大模型实现cdn产品化中的流量护盾功能，即从操作入口到厂商配置下发及反馈的一整套流程。\n由于代码库中有很多类似的产品化功能及对应的处理逻辑，先让大模型梳理某一个功能字段的全链路实现逻辑以及涉及到的模块，作为新增代码的参考，再结合新功能的使用方法、测试样例、特殊逻辑等告知大模型，生成单测验证，完成功能自查并记录文档。
